Idx	Dataset	StartIdx	EndIdx	NumPts	X	Y	Z
0	2014-12-16-18-44-24	1418755550409282	1418755607314993	36296	-35.732506	861.043965	6.056973
1	2014-12-16-18-44-24	1418755578801478	1418755607314993	28750	-37.878656	855.265768	5.694476
2	2014-12-16-18-44-24	1418755596321608	1418755607475584	29587	-35.017346	839.502650	5.665342
3	2014-12-16-18-44-24	1418755599391288	1418755608798868	31784	-29.920233	827.151645	5.763404
4	2014-12-16-18-44-24	1418755601196710	1418755610223542	31547	-25.749704	816.530073	5.890820
5	2014-12-16-18-44-24	1418755602819904	1418755611628967	33118	-21.620554	806.539732	5.891928
6	2014-12-16-18-44-24	1418755604382724	1418755612974900	35561	-18.127886	797.611465	5.896098
7	2014-12-16-18-44-24	1418755605928811	1418755614280582	37258	-14.960285	788.749953	5.877113
8	2014-12-16-18-44-24	1418755607415366	1418755615567691	36895	-11.912849	779.809052	5.722177
9	2014-12-16-18-44-24	1418755608858976	1418755616814515	37237	-8.623695	770.778029	5.500936
10	2014-12-16-18-44-24	1418755610283764	1418755618060715	38074	-5.198798	760.898503	5.225913
11	2014-12-16-18-44-24	1418755611689212	1418755619264570	39581	-1.891824	750.981698	5.047534
12	2014-12-16-18-44-24	1418755613035159	1418755620449380	38256	1.112665	741.532379	4.907821
13	2014-12-16-18-44-24	1418755614340950	1418755621617564	38989	4.302394	731.982185	4.693966
14	2014-12-16-18-44-24	1418755615607954	1418755622802648	39438	7.359030	722.704094	4.538310
15	2014-12-16-18-44-24	1418755616854737	1418755623988824	40370	10.611205	713.064199	4.417684
16	2014-12-16-18-44-24	1418755618080935	1418755625195232	39795	14.030913	703.183924	4.260583
17	2014-12-16-18-44-24	1418755619284618	1418755626401141	38895	17.449343	693.469958	4.087455
18	2014-12-16-18-44-24	1418755620469511	1418755627609662	39053	21.014852	684.075213	3.929975
19	2014-12-16-18-44-24	1418755621657768	1418755628834534	37940	24.871729	674.808964	3.828783
20	2014-12-16-18-44-24	1418755622842794	1418755630039596	37772	28.594268	665.714256	3.722619
21	2014-12-16-18-44-24	1418755624029037	1418755631266403	36116	32.442201	656.451369	3.539933
22	2014-12-16-18-44-24	1418755625235411	1418755632453609	37368	36.665748	646.880602	3.434490
23	2014-12-16-18-44-24	1418755626441356	1418755633682852	37909	41.002544	637.514536	3.343542
24	2014-12-16-18-44-24	1418755627649916	1418755634929962	39436	45.349387	628.455225	3.178514
25	2014-12-16-18-44-24	1418755628874671	1418755636275721	37566	49.361966	618.779524	2.999223
26	2014-12-16-18-44-24	1418755630079803	1418755637759858	38975	53.712780	609.069580	2.759211
27	2014-12-16-18-44-24	1418755631306667	1418755639524620	35399	58.229080	599.511941	2.437892
28	2014-12-16-18-44-24	1418755632514049	1418755642433304	32181	64.351219	587.514836	2.016437
29	2014-12-16-18-44-24	1418755633723113	1418755663321198	52107	82.399354	595.715197	0.373734
30	2014-12-16-18-44-24	1418755634970156	1418755662475427	47491	83.372265	592.928444	0.295508
31	2014-12-16-18-44-24	1418755636315818	1418755661629501	42993	84.507715	590.348246	0.196838
32	2014-12-16-18-44-24	1418755637820112	1418755660742835	38087	85.701474	587.987007	0.099903
33	2014-12-16-18-44-24	1418755639604794	1418755659816490	34269	86.947582	586.129529	0.013019
34	2014-12-16-18-44-24	1418755642493542	1418755658991039	31236	89.128815	586.316558	-0.235878
35	2014-12-16-18-44-24	1418755650013843	1418755659071646	35529	91.707722	599.373172	-0.161074
36	2014-12-16-18-44-24	1418755652293996	1418755660239124	37631	91.149312	611.258216	-0.165264
37	2014-12-16-18-44-24	1418755653849034	1418755661548803	37794	90.779622	622.099715	-0.292376
38	2014-12-16-18-44-24	1418755655220894	1418755662837870	40747	90.568993	631.812480	-0.283798
39	2014-12-16-18-44-24	1418755656511775	1418755664146979	42750	90.301864	642.060040	-0.302990
40	2014-12-16-18-44-24	1418755657781364	1418755665475722	42913	90.039935	652.286801	-0.327943
41	2014-12-16-18-44-24	1418755659031328	1418755666763303	42417	89.875474	662.206326	-0.391538
42	2014-12-16-18-44-24	1418755660299539	1418755668051047	43413	89.365435	672.135657	-0.425287
43	2014-12-16-18-44-24	1418755661589140	1418755669317298	43956	88.336037	681.516391	-0.354530
44	2014-12-16-18-44-24	1418755662898285	1418755670564666	41392	87.303247	691.179874	-0.277335
45	2014-12-16-18-44-24	1418755664207365	1418755671789421	41950	86.327412	701.217397	-0.225837
46	2014-12-16-18-44-24	1418755665515997	1418755672954918	41710	85.046754	711.564027	-0.163577
47	2014-12-16-18-44-24	1418755666803558	1418755674099010	42572	83.535520	721.664241	-0.129861
48	2014-12-16-18-44-24	1418755668091261	1418755675223846	40762	82.095641	731.769204	-0.100196
49	2014-12-16-18-44-24	1418755669357559	1418755676329093	42408	80.974940	741.934284	-0.067392
50	2014-12-16-18-44-24	1418755670604860	1418755677414144	43332	79.574714	751.514384	-0.141447
51	2014-12-16-18-44-24	1418755671829577	1418755678502225	42535	78.273524	761.120056	-0.195761
52	2014-12-16-18-44-24	1418755673015157	1418755679568831	40751	77.250094	771.530187	-0.151356
53	2014-12-16-18-44-24	1418755674159194	1418755680575704	44574	76.333274	781.795378	-0.120301
54	2014-12-16-18-44-24	1418755675284149	1418755681582344	44082	75.460660	791.511254	-0.173750
55	2014-12-16-18-44-24	1418755676389385	1418755682570219	39251	74.324196	801.552890	-0.309081
56	2014-12-16-18-44-24	1418755677474523	1418755683538052	38056	73.728565	811.460639	-0.272651
57	2014-12-16-18-44-24	1418755678542455	1418755684524025	38321	72.836646	821.678484	-0.224246
58	2014-12-16-18-44-24	1418755679588977	1418755685489117	40467	71.810991	832.285102	-0.345174
59	2014-12-16-18-44-24	1418755680615974	1418755686476226	40402	70.891611	842.788634	-0.502038
60	2014-12-16-18-44-24	1418755681622664	1418755687465614	39459	70.131672	852.609903	-0.627274
