Idx	Dataset	StartIdx	EndIdx	NumPts	X	Y	Z
0	2015-02-03-08-45-10	1422953150704263	1422953209643389	41833	-31.682714	859.856104	2.930032
1	2015-02-03-08-45-10	1422953154717253	1422953208121774	36958	-33.983335	861.085464	2.862016
2	2015-02-03-08-45-10	1422953177746807	1422953208141802	31494	-36.877428	852.558698	2.860904
3	2015-02-03-08-45-10	1422953184479118	1422953208442227	29933	-35.799672	844.433487	2.834984
4	2015-02-03-08-45-10	1422953200086454	1422953209603366	32985	-29.609640	828.387903	2.986301
5	2015-02-03-08-45-10	1422953201930284	1422953211183358	32532	-25.018984	817.381999	3.096421
6	2015-02-03-08-45-10	1422953203555074	1422953212825233	33403	-20.580656	807.035136	3.181869
7	2015-02-03-08-45-10	1422953205118386	1422953214534648	35815	-16.740546	797.792763	3.263236
8	2015-02-03-08-45-10	1422953206639544	1422953216243619	37929	-13.426267	788.934583	3.327751
9	2015-02-03-08-45-10	1422953208121774	1422953217948512	37217	-10.142428	779.988870	3.238396
10	2015-02-03-08-45-10	1422953209663406	1422953219597656	38176	-7.012575	771.342162	3.155567
11	2015-02-03-08-45-10	1422953211243313	1422953221223475	39265	-3.801574	762.054721	3.070629
12	2015-02-03-08-45-10	1422953212885437	1422953222869194	39715	-0.549198	752.452244	2.976161
13	2015-02-03-08-45-10	1422953214595048	1422953224716134	39190	2.414992	742.658497	2.987770
14	2015-02-03-08-45-10	1422953216283830	1422953226977043	41353	5.871439	731.960601	2.963521
15	2015-02-03-08-45-10	1422953217988777	1422953229465635	42766	9.140574	721.456501	3.019202
16	2015-02-03-08-45-10	1422953219637847	1422953231573186	44289	12.211040	712.456020	3.092353
17	2015-02-03-08-45-10	1422953221263537	1422953233478332	45427	15.056159	703.987802	3.152831
18	2015-02-03-08-45-10	1422953222929527	1422953235240657	44449	17.788797	695.887648	3.241517
19	2015-02-03-08-45-10	1422953224776260	1422953236923736	43585	20.850192	687.995050	3.277989
20	2015-02-03-08-45-10	1422953227057185	1422953238668846	42340	24.771360	678.793543	3.358723
21	2015-02-03-08-45-10	1422953229545874	1422953240615995	41889	29.471572	668.294173	3.471312
22	2015-02-03-08-45-10	1422953231633426	1422953242500010	39508	33.809674	658.445063	3.497389
23	2015-02-03-08-45-10	1422953233538455	1422953244346950	40423	38.680147	648.691902	3.605617
24	2015-02-03-08-45-10	1422953235280771	1422953246193378	40477	43.441256	639.631334	3.707499
25	2015-02-03-08-45-10	1422953236963799	1422953248160869	42902	48.126593	631.041528	3.785133
26	2015-02-03-08-45-10	1422953238709027	1422953250124897	40756	52.249761	622.136295	3.879998
27	2015-02-03-08-45-10	1422953240636067	1422953252066891	42023	56.412998	612.714099	3.951286
28	2015-02-03-08-45-10	1422953242540103	1422953254091275	40202	60.366462	603.956938	3.940940
